Sl No,Name of Candidate,COURSE,Email,Ph
264,Kumar G,JAVA.NET,shhbaz.glmhmdy@yahoo.com,9889512263
265,Bijoy J Puthussery,JAVA.NET,mhrafzwn_mthry@gmail.com,9889512264
266,Joseph Johny Vallanat,JAVA.NET,ahwra.mlk@hotmail.com,9889512265
267,Athira Gopalakrishnan,JAVA.NET,jhandkht50@yahoo.com,9889512266
268,Ankitha Nair,JAVA.NET,swrn37@yahoo.com,9889512267
269,Dhanusha A D,JAVA.NET,nyma_mftah68@yahoo.com,9889512268
270,Greeshma Madhu,JAVA.NET,frdad_mhdypwr25@yahoo.com,9889512269
271,Sivaparvathy S,JAVA.NET,nykpy.njfy65@yahoo.com,9889512270
272,Vyshnavi Siji Mohanan,JAVA.NET,twzhal_frwtn@gmail.com,9889512271
273,S Sneha,JAVA.NET,frahan_nwbkhty@yahoo.com,9889512272
274,Sahana S,JAVA.NET,aahw7@yahoo.com,9889512273
275,Athira Prasad,JAVA.NET,dlaawyz.hamwn@yahoo.com,9889512274
276,Divya Nair,JAVA.NET,gwmatw.mhajrany46@yahoo.com,9889512275
277,Arathy G.K Nair,JAVA.NET,tyrdad59@hotmail.com,9889512276
278,Abhijesh R Chandran,JAVA.NET,zrngar_hamwn@yahoo.com,9889512277
279,Sivakami T,JAVA.NET,swzan_kwshky@hotmail.com,9889512278
280,Nikhil Prakash,JAVA.NET,ramyla81@gmail.com,9889512279
281,Vimal Viswambharan,JAVA.NET,prtw_namwr92@gmail.com,9889512280
282,Malavika Krishnan,JAVA.NET,prham.msbah@yahoo.com,9889512281
283,Anees H,JAVA.NET,arslan_mlk45@hotmail.com,9889512282
284,Raechel David,JAVA.NET,glbhar.msahb@yahoo.com,9889512283
285,Rohith M R,JAVA.NET,raspyna_myrdamady@yahoo.com,9889512284
286,Lekshmi C Senan,JAVA.NET,mykhk.myrdamady@hotmail.com,9889512285
287,Ariya Agnihothri Ms,JAVA.NET,frbgh_frhng@gmail.com,9889512286
288,Athira Adev,JAVA.NET,banw_nqdy@yahoo.com,9889512287
289,Lekshmi S,JAVA.NET,pwrya.frhng@yahoo.com,9889512288
290,Chaithanya Ganesh,JAVA.NET,rabw.gnjy97@gmail.com,9889512289
291,Annsona Ansilon Dores,JAVA.NET,zadbh.fnayy@gmail.com,9889512290
292,Sujith N,JAVA.NET,nazprwr44@yahoo.com,9889512291
293,Simimol S M,JAVA.NET,symyn42@hotmail.com,9889512292
294,Arsha Vijayan,JAVA.NET,ngaryn26@hotmail.com,9889512293
